,hidden_units: 400,training_set: 35000,validation_set: 10000,testing_set: 10000,,hidden_units: 100,training_set: 140000,validation_set: 20000,testing_set: 10000,,hidden_units: 200,training_set: 70000,validation_set: 20000,testing_set: 10000,,hidden_units: 100,training_set: 70000,validation_set: 20000,testing_set: 10000
,,,,,,,,,,,,,,,,,,,
,best_validation_loss,test_score,running_time,,,best_validation_loss,test_score,running_time,,,best_validation_loss,test_score,running_time,,,best_validation_loss,test_score,running_time,
,,,,,,,,,,,,,,,,,,,
,0.0906,0.0873,0.069652446,,,0.0876,0.0876,0.017654965,,,0.0855,0.0896,0.061131638,,,0.08535,0.0865,0.039994579,
,0.084,0.0834,0.072016201,,,0.0865,0.0838,0.023870576,,,0.0862,0.0881,0.057340454,,,0.08595,0.0867,0.037606374,
,0.0823,0.0874,0.069840797,,,0.0868,0.0855,0.017856297,,,0.0848,0.0846,0.064921011,,,0.08485,0.0846,0.033503685,
,0.0898,0.0871,0.07241011,,,0.0866,0.0922,0.017886179,,,0.0864,0.0874,0.065571489,,,0.08535,0.0864,0.037999378,
,0.0906,0.0824,0.073289085,,,0.08715,0.0861,0.017792305,,,0.0871,0.0857,0.050259452,,,0.08725,0.0842,0.048055675,
,0.0823,0.0912,0.071200009,,,0.08795,0.0866,0.015120064,,,0.08605,0.0862,0.050459274,,,0.0857,0.084,0.035769944,
,0.0854,0.0898,0.073692049,,,0.0853,0.0873,0.01777993,,,0.0863,0.0851,0.051560407,,,0.08615,0.0888,0.027901426,
,0.0874,0.0863,0.067396148,,,0.0895,0.0876,0.017891914,,,0.0853,0.0851,0.053579454,,,0.08665,0.0849,0.02986765,
avg,0.086501563,0.08579375,0.084907628,,,0.086265625,0.086709375,0.021736436,,,0.086085938,0.085846875,0.056645176,,,0.085882813,0.085739063,0.032317181,
std,0.002175107,0.002154129,0.014381168,,,0.000963914,0.002181149,0.013050624,,,0.000843934,0.002109944,0.013807753,,,0.000819907,0.001914207,0.006086497,
